Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
1996,Pete Harnisch,Mets,5.27,2.82,1.87,1.39,13.60%,7.30%,6.30%,0.253,1.32,0.263,72.40%,103,119,,4.21,5.05,-0.84,,,1005374
1996,Orel Hershiser,Indians,5.46,2.53,2.16,0.92,13.80%,6.40%,7.40%,0.284,1.44,0.314,69.30%,84,88,,4.24,4.3,-0.06,,,1005741
1996,Ken Hill,Rangers,6.1,3.41,1.79,0.68,16.00%,9.00%,7.10%,0.26,1.38,0.3,74.30%,70,81,,3.63,4.01,-0.38,,,1005827
1996,Scott Karl,Brewers,5.25,3.13,1.68,1.26,13.40%,8.00%,5.40%,0.268,1.41,0.284,68.20%,94,102,,4.86,5.02,-0.16,,,1006703
1996,Jimmy Key,Yankees,6.17,3.08,2,1.12,16.20%,8.10%,8.10%,0.261,1.35,0.29,68.50%,96,93,,4.68,4.48,0.2,,,1006885
1996,Mark Leiter,- - -,7.2,3.03,2.38,1.62,18.10%,7.60%,10.50%,0.267,1.4,0.294,69.80%,119,121,,4.92,5.16,-0.24,,,1007501
1996,Felipe Lira,Tigers,5.22,3.05,1.71,1.39,13.30%,7.80%,5.50%,0.264,1.39,0.276,66.00%,104,102,,5.22,5.19,0.04,,,1007649
1996,Ramon Martinez,Dodgers,7.1,4.59,1.55,0.64,18.20%,11.80%,6.40%,0.24,1.42,0.286,74.30%,88,101,,3.42,4.19,-0.78,,,1008193
1996,Ben McDonald,Brewers,5.94,2.72,2.18,1.02,15.40%,7.10%,8.30%,0.26,1.33,0.287,74.10%,76,87,,3.9,4.31,-0.41,,,1008454
1996,Jack McDowell,Indians,6.61,3.14,2.1,1.03,16.70%,7.90%,8.80%,0.276,1.46,0.314,65.30%,101,88,,5.11,4.3,0.81,,,1008473
1996,Jaime Navarro,Cubs,6.01,2.74,2.19,0.95,15.70%,7.20%,8.50%,0.264,1.34,0.295,72.20%,92,97,,3.92,4.25,-0.33,,,1009465
1996,Roger Pavlik,Rangers,5.69,3.63,1.57,1.25,14.50%,9.20%,5.30%,0.273,1.48,0.296,69.30%,101,101,,5.19,5,0.19,,,1010087
1996,Pat Rapp,Marlins,4.77,5.05,0.95,0.67,11.80%,12.50%,-0.70%,0.29,1.69,0.321,70.10%,123,113,,5.1,4.81,0.29,,,1010700
1996,Kevin Ritz,Rockies,4.44,4.44,1,1.01,10.90%,10.90%,0.00%,0.278,1.6,0.294,68.30%,102,111,,5.28,5.3,-0.02,,,1010998
1996,Rich Robertson,Twins,5.51,5.6,0.98,1.06,13.40%,13.60%,-0.20%,0.271,1.68,0.296,71.80%,101,112,,5.12,5.5,-0.38,,,1011045
1996,Frank Rodriguez,Twins,4.79,3.4,1.41,1.18,12.20%,8.70%,3.60%,0.267,1.43,0.281,65.40%,100,102,,5.05,5.01,0.04,,,1011106
1996,John Smiley,Reds,7.08,2.24,3.17,0.83,19.20%,6.10%,13.20%,0.249,1.2,0.292,69.60%,86,83,,3.64,3.59,0.05,,,1012084
1996,Kevin Tapani,White Sox,5.99,3.04,1.97,1.36,15.50%,7.80%,7.60%,0.265,1.38,0.285,71.80%,95,101,,4.59,4.85,-0.26,,,1012824
1996,Bob Tewksbury,Padres,5.49,1.87,2.93,0.74,14.30%,4.90%,9.40%,0.268,1.29,0.299,62.60%,108,87,,4.31,3.69,0.62,,,1012941
1996,Mark Thompson,Rockies,5.25,3.93,1.34,1.33,13.00%,9.70%,3.30%,0.28,1.55,0.297,69.30%,102,115,,5.3,5.46,-0.15,,,1013019
1996,Fernando Valenzuela,Padres,4.98,3.51,1.42,0.89,12.80%,9.00%,3.80%,0.263,1.42,0.285,75.40%,91,107,,3.62,4.52,-0.91,,,1013327
1996,William Van Landingham,Giants,4.81,3.86,1.24,0.84,12.00%,9.60%,2.40%,0.271,1.51,0.294,61.70%,131,111,,5.4,4.76,0.64,,,1013358
1996,Allen Watson,Giants,6.2,3.34,1.86,1.36,16.10%,8.70%,7.40%,0.263,1.39,0.286,70.60%,112,116,,4.61,4.95,-0.34,,,1013675
1996,Bobby Witt,Rangers,7.08,4.33,1.64,1.26,17.40%,10.60%,6.80%,0.292,1.66,0.334,69.40%,105,99,,5.41,4.89,0.51,,,1014170
1997,Kevin Appier,Royals,7.49,2.83,2.65,0.92,20.20%,7.60%,12.60%,0.24,1.23,0.283,75.90%,74,81,,3.4,3.76,-0.36,,,3
1997,Aaron Sele,Red Sox,6.19,4.06,1.53,1.27,15.10%,9.90%,5.20%,0.274,1.56,0.301,68.80%,115,116,,5.38,5.17,0.21,,,34
1997,Randy Johnson,Mariners,12.3,3.25,3.78,0.85,34.20%,9.10%,25.20%,0.193,1.05,0.281,84.50%,50,62,,2.28,2.82,-0.54,,,60
1997,Curt Schilling,Phillies,11.29,2.05,5.5,0.88,31.60%,5.80%,25.90%,0.22,1.05,0.304,74.20%,69,61,,2.97,2.62,0.35,,,73
1997,Todd Stottlemyre,Cardinals,7.96,3.23,2.46,0.8,21.00%,8.50%,12.50%,0.227,1.22,0.274,69.70%,93,88,,3.88,3.77,0.11,,,75
1997,Tom Glavine,Braves,5.7,2.96,1.92,0.75,15.70%,8.10%,7.50%,0.222,1.15,0.248,77.00%,71,95,,2.96,3.96,-1,,,90
1997,Greg Maddux,Braves,6.85,0.77,8.85,0.35,19.80%,2.20%,17.60%,0.231,0.95,0.28,78.70%,53,58,,2.2,2.43,-0.22,,,104
1997,John Smoltz,Braves,8.47,2.21,3.83,0.74,23.10%,6.00%,17.10%,0.239,1.16,0.297,74.80%,73,72,,3.02,3.04,-0.02,,,115
1997,Scott Erickson,Orioles,5.32,2.48,2.15,0.65,14.20%,6.60%,7.60%,0.255,1.26,0.285,70.30%,83,83,,3.69,3.76,-0.06,,,137
1997,Pat Hentgen,Blue Jays,5.45,2.42,2.25,1.06,14.80%,6.50%,8.20%,0.251,1.23,0.272,74.80%,80,96,,3.68,4.31,-0.63,,,145
1997,John Burkett,Rangers,6.61,1.43,4.63,0.95,16.80%,3.60%,13.20%,0.302,1.43,0.346,68.30%,96,77,,4.56,3.55,1.01,,,179
1997,Frank Castillo,- - -,6.15,3.37,1.83,1.22,15.20%,8.30%,6.90%,0.292,1.57,0.324,67.20%,116,105,,5.42,4.76,0.66,,,180
1997,Pedro Martinez,Expos,11.37,2.5,4.55,0.6,32.20%,7.10%,25.10%,0.181,0.93,0.258,79.90%,45,57,,1.9,2.39,-0.49,,,200
1997,Darren Oliver,Rangers,4.65,3.67,1.27,1.3,11.70%,9.20%,2.50%,0.268,1.47,0.278,73.50%,88,116,,4.2,5.33,-1.13,,,206
1997,Tim Wakefield,Red Sox,6.75,3.89,1.74,1.07,17.40%,10.10%,7.40%,0.253,1.39,0.287,71.30%,91,106,,4.25,4.69,-0.45,,,219
1997,Jeff Fassero,Mariners,7.26,3.23,2.25,0.81,18.70%,8.30%,10.40%,0.245,1.32,0.288,72.30%,79,83,,3.61,3.77,-0.16,,,279
1997,Tom Gordon,Red Sox,7.83,3.84,2.04,0.49,20.50%,10.10%,10.50%,0.224,1.28,0.277,68.00%,80,77,,3.74,3.41,0.33,,,282
1997,Jon Lieber,Pirates,7.65,2.44,3.14,1.1,20.00%,6.40%,13.60%,0.258,1.3,0.301,67.20%,105,90,,4.49,3.83,0.67,,,287
1997,Joey Hamilton,Padres,5.79,3.22,1.8,1.03,14.90%,8.30%,6.60%,0.265,1.39,0.293,72.20%,108,110,,4.25,4.57,-0.32,,,328
1997,Chuck Finley,Angels,8.51,3.57,2.38,1.1,22.50%,9.40%,13.00%,0.245,1.32,0.297,73.70%,93,89,,4.23,4.08,0.14,,,384
1997,Charles Nagy,Indians,5.91,3.05,1.94,1.07,15.00%,7.80%,7.30%,0.279,1.45,0.309,74.20%,93,99,,4.28,4.45,-0.17,,,397
1997,Mike Hampton,Astros,5.61,3.11,1.81,0.65,14.80%,8.20%,6.60%,0.252,1.32,0.284,69.80%,96,96,,3.83,3.86,-0.02,,,430
1997,Denny Neagle,Braves,6.63,1.89,3.51,0.69,18.20%,5.20%,13.00%,0.229,1.08,0.265,73.60%,71,80,,2.97,3.34,-0.37,,,441
1997,John Thomson,Rockies,5.74,2.76,2.08,0.81,14.70%,7.10%,7.60%,0.29,1.47,0.327,68.00%,91,85,,4.71,4.02,0.69,,,453
1997,Brian Moehler,Tigers,4.98,3.13,1.59,1.13,12.60%,7.90%,4.70%,0.281,1.48,0.301,71.60%,101,101,,4.67,4.76,-0.09,,,480
1997,Dave Mlicki,Mets,7.3,3.53,2.07,0.98,18.70%,9.10%,9.70%,0.256,1.39,0.299,75.70%,99,100,,4,4.15,-0.16,,,569
1997,Shane Reynolds,Astros,7.56,2.34,3.23,0.94,19.70%,6.10%,13.60%,0.261,1.3,0.308,69.20%,106,90,,4.23,3.62,0.6,,,574
1997,Andy Ashby,Padres,6.46,2.2,2.94,0.76,16.90%,5.80%,11.20%,0.26,1.28,0.299,64.50%,104,86,,4.13,3.58,0.54,,,637
1997,Kevin Brown,Marlins,7.77,2.5,3.11,0.38,21.00%,6.80%,14.20%,0.239,1.18,0.3,77.50%,67,70,,2.69,2.94,-0.25,,,642
1997,Terry Mulholland,- - -,4.77,2.46,1.94,1.16,12.50%,6.40%,6.10%,0.26,1.29,0.273,69.60%,100,110,,4.24,4.72,-0.47,,,665
1997,Hideo Nomo,Dodgers,10.11,3.99,2.53,1,25.80%,10.20%,15.60%,0.24,1.37,0.311,72.60%,109,91,,4.25,3.77,0.49,,,666
1997,Dennis Springer,Angels,3.47,3.37,1.03,1.48,8.90%,8.60%,0.20%,0.261,1.4,0.255,69.10%,114,125,,5.18,5.75,-0.58,,,672
1997,Glendon Rusch,Royals,6.13,2.75,2.23,1.48,15.30%,6.90%,8.40%,0.295,1.51,0.321,68.20%,119,106,,5.5,4.92,0.57,,,707
1997,Brad Radke,Twins,6.53,1.8,3.63,1.05,17.60%,4.90%,12.70%,0.254,1.19,0.285,70.10%,83,84,,3.87,3.81,0.05,,,748
1997,Rick Reed,Mets,4.88,1.34,3.65,0.82,13.70%,3.80%,10.00%,0.236,1.04,0.255,74.70%,72,90,,2.89,3.73,-0.83,,,750
1997,Roger Clemens,Blue Jays,9.95,2.32,4.29,0.31,28.00%,6.50%,21.50%,0.212,1.03,0.294,80.70%,45,50,,2.05,2.25,-0.2,,,815
1997,Mike Mussina,Orioles,8.73,2.16,4.04,1.08,24.10%,6.00%,18.10%,0.232,1.12,0.282,77.20%,72,77,,3.2,3.49,-0.29,,,837
1997,Andy Pettitte,Yankees,6.22,2.43,2.55,0.26,16.80%,6.60%,10.20%,0.254,1.24,0.303,73.80%,65,66,,2.88,2.96,-0.07,,,840
1997,David Wells,Yankees,6.44,1.86,3.47,0.99,16.90%,4.90%,12.00%,0.274,1.3,0.311,70.60%,95,85,,4.21,3.81,0.4,,,855
1997,Pedro Astacio,- - -,7.38,2.71,2.72,1.07,19.30%,7.10%,12.20%,0.253,1.29,0.292,72.80%,99,95,,4.14,4.05,0.09,,,862
1997,Shawn Estes,Giants,8.1,4.48,1.81,0.54,21.30%,11.80%,9.50%,0.219,1.3,0.274,75.00%,79,88,,3.18,3.7,-0.52,,,873
1997,Steve Trachsel,Cubs,7.15,3.08,2.32,1.43,18.20%,7.90%,10.40%,0.28,1.46,0.315,74.40%,105,108,,4.51,4.69,-0.17,,,898
1997,Bobby Jones,Mets,5.82,2.93,1.98,1.12,15.50%,7.80%,7.70%,0.239,1.24,0.258,73.90%,90,107,,3.63,4.44,-0.81,,,1039
1997,James Baldwin,White Sox,6.3,3.74,1.69,0.86,15.90%,9.40%,6.50%,0.259,1.44,0.294,61.90%,119,96,,5.27,4.26,1,,,1064
1997,Jamie Moyer,Mariners,5.39,2.05,2.63,1,14.40%,5.50%,8.90%,0.254,1.22,0.275,74.70%,84,91,,3.86,4.15,-0.29,,,1091
1997,Kirk Rueter,Giants,5.43,2.41,2.25,0.8,14.30%,6.40%,8.00%,0.259,1.28,0.286,73.40%,86,93,,3.45,3.88,-0.43,,,1128
1997,Jason Schmidt,Pirates,6.52,3.64,1.79,0.77,16.50%,9.20%,7.30%,0.261,1.43,0.301,67.30%,107,97,,4.6,4.13,0.48,,,1131
1997,Andy Benes,Cardinals,8.9,3.1,2.87,0.46,24.10%,8.40%,15.70%,0.225,1.19,0.294,74.60%,74,68,,3.1,2.91,0.19,,,1144
1997,Darryl Kile,Astros,7.22,3.31,2.18,0.67,19.40%,8.90%,10.50%,0.218,1.18,0.26,78.80%,65,92,,2.57,3.69,-1.12,,,1163
1997,Matt Morris,Cardinals,6.18,2.86,2.16,0.5,16.60%,7.70%,8.90%,0.252,1.28,0.296,73.40%,76,82,,3.19,3.51,-0.31,,,1172
1997,Woody Williams,Blue Jays,5.73,3.05,1.88,1.43,14.90%,7.90%,7.00%,0.264,1.37,0.28,76.10%,95,111,,4.35,5,-0.65,,,1190
1997,Wilson Alvarez,- - -,7.6,3.86,1.97,0.76,20.00%,10.20%,9.80%,0.225,1.28,0.268,71.30%,82,89,,3.48,3.87,-0.39,,,1193
1997,Chan Ho Park,Dodgers,7.78,3.28,2.37,1.12,21.00%,8.80%,12.10%,0.209,1.14,0.239,76.00%,86,102,,3.37,4.22,-0.85,,,1267
1997,Ismael Valdez,Dodgers,6.41,2.15,2.98,0.73,17.60%,5.90%,11.70%,0.23,1.11,0.263,77.00%,68,85,,2.65,3.51,-0.85,,,1283
1997,Esteban Loaiza,Pirates,5.59,2.57,2.18,0.78,14.30%,6.60%,7.80%,0.273,1.38,0.306,70.90%,96,95,,4.13,4.03,0.09,,,1310
1997,Cal Eldred,Brewers,5.44,3.97,1.37,1.38,13.80%,10.10%,3.70%,0.263,1.47,0.278,71.50%,107,117,,4.99,5.35,-0.36,,,1653
1997,David Cone,Yankees,10.25,3.97,2.58,0.78,27.60%,10.70%,16.90%,0.217,1.24,0.29,80.50%,63,75,,2.82,3.35,-0.53,,,1680
1997,Justin Thompson,Tigers,6.09,2.66,2.29,0.81,17.00%,7.40%,9.50%,0.228,1.14,0.258,76.30%,65,82,,3.02,3.83,-0.81,,,8217
1997,Roger Bailey,Rockies,3.96,3.3,1.2,1.27,10.10%,8.40%,1.70%,0.279,1.47,0.285,74.50%,83,114,,4.29,5.37,-1.08,,,1000429
1997,Tim Belcher,Royals,4.77,2.95,1.61,1.31,12.20%,7.60%,4.60%,0.284,1.46,0.298,69.10%,109,108,,5.02,4.99,0.03,,,1000789
1997,Willie Blair,Tigers,4.63,2.37,1.96,0.93,12.20%,6.20%,6.00%,0.27,1.33,0.289,71.50%,90,91,,4.17,4.26,-0.09,,,1001033
1997,Mark Clark,- - -,5.4,2.59,2.08,1.05,14.20%,6.80%,7.40%,0.265,1.33,0.288,74.30%,93,104,,3.82,4.35,-0.53,,,1002296
1997,Steve Cooke,Pirates,5.86,4.14,1.42,0.81,14.40%,10.20%,4.20%,0.275,1.56,0.31,70.30%,100,107,,4.3,4.51,-0.21,,,1002570
1997,Francisco Cordova,Pirates,6.1,2.47,2.47,0.71,16.30%,6.60%,9.70%,0.255,1.25,0.292,71.70%,84,88,,3.63,3.75,-0.12,,,1002623
1997,Jason Dickson,Angels,5.08,2.47,2.05,1.41,13.00%,6.30%,6.60%,0.286,1.43,0.301,74.00%,94,108,,4.29,4.95,-0.66,,,1003278
1997,Doug Drabek,White Sox,4.52,3.67,1.23,1.59,11.60%,9.40%,2.20%,0.258,1.41,0.258,66.70%,130,128,,5.74,5.7,0.04,,,1003473
1997,Alex Fernandez,Marlins,7.46,2.81,2.65,1.02,20.20%,7.60%,12.60%,0.232,1.19,0.27,74.90%,89,94,,3.59,3.92,-0.33,,,1003993
1997,Mark Gardner,Giants,6.79,2.84,2.39,1.4,17.80%,7.50%,10.30%,0.266,1.36,0.295,74.50%,107,110,,4.29,4.58,-0.29,,,1004529
1997,Orel Hershiser,Indians,4.93,3.18,1.55,1.2,13.00%,8.40%,4.60%,0.267,1.37,0.282,71.70%,97,111,,4.47,4.97,-0.5,,,1005741
1997,Ken Hill,- - -,5.02,4.5,1.12,0.9,12.70%,11.40%,1.30%,0.264,1.52,0.287,71.20%,97,105,,4.55,4.84,-0.29,,,1005827
1997,Chris Holt,Astros,4.08,2.62,1.56,0.73,10.80%,6.90%,3.90%,0.259,1.3,0.276,71.00%,89,106,,3.52,4.24,-0.72,,,1005983
1997,Jeff Juden,- - -,7.59,4.02,1.89,1.28,19.30%,10.20%,9.10%,0.252,1.42,0.288,74.50%,104,113,,4.46,4.8,-0.34,,,1006643
1997,Scott Kamieniecki,Orioles,5.47,3.36,1.63,1,14.30%,8.80%,5.50%,0.258,1.37,0.282,75.20%,90,100,,4.01,4.53,-0.52,,,1006681
1997,Scott Karl,Brewers,5.54,3.12,1.78,1.07,14.20%,8.00%,6.20%,0.276,1.44,0.302,71.80%,96,99,,4.47,4.53,-0.06,,,1006703
1997,Jimmy Key,Orioles,5.98,3.48,1.72,1.02,15.60%,9.10%,6.50%,0.258,1.38,0.286,78.60%,77,99,,3.43,4.48,-1.05,,,1006885
1997,Mark Leiter,Phillies,7.29,3.15,2.31,1.23,17.80%,7.70%,10.10%,0.285,1.53,0.326,61.80%,132,105,,5.67,4.47,1.2,,,1007501
1997,Jaime Navarro,White Sox,6.1,3.13,1.95,0.94,14.80%,7.60%,7.20%,0.303,1.62,0.342,60.20%,131,94,,5.79,4.21,1.59,,,1009465
1997,Omar Olivares,- - -,5.23,4.11,1.27,0.91,13.00%,10.20%,2.80%,0.273,1.53,0.299,67.70%,107,104,,4.97,4.86,0.12,,,1009771
1997,Carlos Perez,Expos,4.79,2.09,2.29,0.91,12.80%,5.60%,7.20%,0.256,1.23,0.274,65.20%,92,98,,3.88,4.12,-0.24,,,1010179
1997,Jose Rosado,Royals,5.71,3.23,1.77,1.15,14.60%,8.30%,6.40%,0.259,1.38,0.28,67.60%,102,100,,4.69,4.64,0.05,,,1011192
1997,Bob Tewksbury,Twins,4.91,1.65,2.97,0.64,12.80%,4.30%,8.50%,0.29,1.37,0.321,69.20%,90,78,,4.22,3.51,0.7,,,1012941
1997,Allen Watson,Angels,6.38,3.3,1.93,1.67,16.00%,8.30%,7.70%,0.275,1.47,0.295,72.20%,108,116,,4.93,5.33,-0.4,,,1013675
1997,Bobby Witt,Rangers,5.21,3.19,1.64,1.42,13.20%,8.10%,5.10%,0.291,1.53,0.308,73.90%,101,110,,4.82,5.09,-0.27,,,1014170
1998,Aaron Sele,Rangers,7.07,3.55,1.99,0.59,17.50%,8.80%,8.70%,0.279,1.52,0.333,69.50%,87,81,,4.23,3.79,0.44,,,34
1998,Brian Anderson,Diamondbacks,4.11,1.04,3.96,1.69,11.20%,2.80%,8.40%,0.271,1.18,0.266,72.00%,100,117,,4.33,5.07,-0.74,,,44
1998,Rick Helling,Rangers,6.82,3.24,2.1,1.12,17.80%,8.50%,9.30%,0.248,1.33,0.279,71.50%,91,93,,4.41,4.34,0.07,,,58
1998,Randy Johnson,- - -,12.12,3.17,3.83,0.85,32.50%,8.50%,24.00%,0.222,1.18,0.32,74.20%,72,65,,3.28,2.9,0.38,,,60
1998,Curt Schilling,Phillies,10.05,2.04,4.92,0.77,27.60%,5.60%,22.00%,0.231,1.11,0.305,74.60%,76,64,,3.25,2.77,0.48,,,73
1998,Todd Stottlemyre,- - -,8.28,3.29,2.52,1.02,21.50%,8.50%,13.00%,0.248,1.33,0.298,72.70%,85,88,,3.74,3.92,-0.18,,,75
1998,Tom Glavine,Braves,6.16,2.9,2.12,0.51,16.80%,7.90%,8.90%,0.235,1.2,0.275,81.20%,59,82,,2.47,3.5,-1.03,,,90
1998,Greg Maddux,Braves,7.31,1.61,4.53,0.47,20.70%,4.60%,16.10%,0.215,0.98,0.262,75.80%,53,65,,2.22,2.81,-0.59,,,104
1998,Kevin Millwood,Braves,8.41,2.89,2.91,0.93,21.80%,7.50%,14.30%,0.254,1.33,0.309,70.90%,97,85,,4.08,3.63,0.45,,,106
1998,Mike Remlinger,Reds,7.89,4.76,1.66,1.26,19.80%,12.00%,7.80%,0.258,1.53,0.301,71.50%,112,112,,4.82,4.89,-0.07,,,111
1998,John Smoltz,Braves,9.29,2.36,3.93,0.54,25.40%,6.50%,18.90%,0.229,1.13,0.3,75.40%,69,63,,2.9,2.71,0.19,,,115
1998,Scott Erickson,Orioles,6.66,2.47,2.7,0.82,16.90%,6.30%,10.60%,0.278,1.4,0.322,72.20%,89,84,,4.01,3.83,0.18,,,137
1998,Pat Hentgen,Blue Jays,4.76,3.5,1.36,1.42,11.80%,8.70%,3.10%,0.288,1.56,0.301,71.30%,110,118,,5.17,5.38,-0.21,,,145
1998,Rolando Arrojo,Devil Rays,6.77,2.9,2.34,0.94,17.80%,7.60%,10.20%,0.254,1.29,0.292,78.10%,76,92,,3.56,4.23,-0.67,,,174
1998,John Burkett,Rangers,6.05,2.12,2.85,0.88,15.30%,5.40%,10.00%,0.288,1.42,0.325,59.40%,117,83,,5.68,3.89,1.78,,,179
1998,Dustin Hermanson,Expos,7.41,2.7,2.75,1.01,20.10%,7.30%,12.80%,0.23,1.17,0.266,73.70%,74,90,,3.13,3.9,-0.77,,,195
1998,Pedro Martinez,Red Sox,9.67,2.58,3.75,1,26.40%,7.10%,19.40%,0.215,1.09,0.27,79.90%,61,77,,2.89,3.4,-0.51,,,200
1998,Tim Wakefield,Red Sox,6.08,3.29,1.85,1.25,15.60%,8.40%,7.10%,0.249,1.34,0.27,69.10%,97,109,,4.58,4.88,-0.3,,,219
1998,Jeff Fassero,Mariners,7.05,2.64,2.67,1.32,18.50%,6.90%,11.50%,0.254,1.29,0.284,72.80%,85,97,,3.97,4.5,-0.53,,,279
1998,Jon Lieber,Pirates,7.26,2.11,3.45,1.21,18.90%,5.50%,13.40%,0.265,1.3,0.302,68.50%,96,94,,4.11,4.03,0.08,,,287
1998,Kerry Wood,Cubs,12.58,4.59,2.74,0.76,33.30%,12.20%,21.20%,0.194,1.21,0.289,74.50%,80,72,,3.4,3.16,0.24,,,304
1998,Joey Hamilton,Padres,6.09,4.39,1.39,0.62,15.30%,11.10%,4.30%,0.261,1.5,0.301,70.60%,108,102,,4.27,4.26,0.01,,,328
1998,Jimmy Haynes,Athletics,6.21,4.08,1.52,1.16,15.30%,10.10%,5.30%,0.293,1.63,0.327,69.00%,111,107,,5.09,4.87,0.23,,,329
1998,Bartolo Colon,Indians,6.97,3.49,2,0.66,17.90%,9.00%,9.00%,0.256,1.39,0.303,73.70%,78,82,,3.71,3.75,-0.05,,,375
1998,Chuck Finley,Angels,8.54,4.39,1.95,0.81,21.70%,11.20%,10.60%,0.244,1.43,0.302,76.80%,73,86,,3.39,3.95,-0.56,,,384
1998,Charles Nagy,Indians,5.13,2.82,1.82,1.45,12.90%,7.10%,5.80%,0.292,1.5,0.308,67.10%,110,113,,5.22,5.17,0.05,,,397
1998,Jaret Wright,Indians,6.54,4.06,1.61,1.03,16.40%,10.20%,6.20%,0.273,1.53,0.311,71.50%,99,103,,4.72,4.7,0.02,,,415
1998,Mike Hampton,Astros,5.83,3.44,1.69,0.77,14.90%,8.80%,6.10%,0.273,1.46,0.309,76.80%,84,103,,3.36,4.17,-0.81,,,430
1998,Denny Neagle,Braves,7.06,2.57,2.75,1.07,19.20%,7.00%,12.20%,0.247,1.22,0.283,75.30%,85,95,,3.55,4.06,-0.51,,,441
1998,Jose Lima,Astros,6.52,1.23,5.28,1.31,17.80%,3.40%,14.40%,0.251,1.12,0.275,76.20%,93,101,,3.7,4.09,-0.38,,,475
1998,Brian Moehler,Tigers,5,2.28,2.2,1.22,13.50%,6.10%,7.40%,0.258,1.25,0.271,74.20%,83,97,,3.9,4.58,-0.67,,,480
1998,Dave Mlicki,- - -,5.81,3.13,1.86,1.14,14.80%,8.00%,6.80%,0.261,1.38,0.285,69.10%,114,111,,4.57,4.66,-0.09,,,569
1998,Shane Reynolds,Astros,8.06,2.04,3.94,0.96,21.20%,5.40%,15.80%,0.276,1.33,0.333,76.90%,88,85,,3.51,3.45,0.06,,,574
1998,Andy Ashby,Padres,6,2.3,2.6,0.91,16.10%,6.20%,9.90%,0.255,1.24,0.286,77.40%,84,95,,3.34,3.99,-0.65,,,637
1998,Kevin Brown,Padres,9,1.72,5.24,0.28,24.90%,4.80%,20.20%,0.231,1.07,0.306,75.90%,60,53,,2.38,2.23,0.15,,,642
1998,Omar Daal,Diamondbacks,7.3,2.82,2.59,0.66,19.90%,7.70%,12.20%,0.239,1.21,0.288,76.40%,66,80,,2.88,3.47,-0.59,,,646
1998,Darren Dreifort,Dodgers,8.4,2.85,2.95,0.6,22.30%,7.60%,14.80%,0.25,1.27,0.315,69.60%,101,77,,4,3.26,0.74,,,647
1998,Jamey Wright,Rockies,3.75,4.14,0.91,1.05,9.40%,10.30%,-1.00%,0.289,1.6,0.3,64.40%,108,112,,5.67,5.36,0.31,,,715
1998,LaTroy Hawkins,Twins,4.96,2.88,1.72,1.28,12.50%,7.30%,5.20%,0.293,1.51,0.312,65.40%,109,108,,5.25,4.92,0.33,,,729
1998,Eric Milton,Twins,5.59,3.66,1.53,1.31,13.90%,9.10%,4.80%,0.279,1.54,0.299,66.40%,117,111,,5.64,5.04,0.6,,,743
1998,Brad Radke,Twins,6.15,1.81,3.4,0.97,16.20%,4.80%,11.40%,0.279,1.32,0.315,70.20%,89,86,,4.3,3.9,0.39,,,748
1998,Rick Reed,Mets,6.49,1.23,5.28,1.27,18.10%,3.40%,14.70%,0.257,1.12,0.284,79.10%,86,96,,3.48,4.03,-0.55,,,750
1998,Javier Vazquez,Expos,7.26,3.55,2.04,1.62,18.20%,8.90%,9.30%,0.286,1.53,0.32,66.50%,143,122,,6.06,5.24,0.82,,,801
1998,Masato Yoshii,Mets,6.13,2.78,2.21,1.15,16.20%,7.30%,8.80%,0.25,1.28,0.274,75.20%,97,107,,3.93,4.47,-0.54,,,807
1998,Roger Clemens,Blue Jays,10.39,3.37,3.08,0.42,28.20%,9.20%,19.00%,0.195,1.1,0.271,74.80%,57,59,,2.65,2.65,-0.01,,,815
1998,Sterling Hitchcock,Padres,8.06,2.45,3.29,1.48,21.30%,6.50%,14.80%,0.246,1.23,0.281,77.10%,99,107,,3.93,4.45,-0.52,,,824
1998,Mike Mussina,Orioles,7.63,1.79,4.27,0.96,21.00%,4.90%,16.10%,0.239,1.11,0.282,73.30%,77,77,,3.49,3.48,0.01,,,837
1998,Andy Pettitte,Yankees,6.07,3.62,1.68,0.83,15.70%,9.30%,6.30%,0.269,1.45,0.306,71.80%,93,94,,4.24,4.28,-0.04,,,840
1998,David Wells,Yankees,6.84,1.22,5.62,1.22,19.20%,3.40%,15.80%,0.238,1.05,0.264,75.40%,77,84,,3.49,3.8,-0.31,,,855
1998,Pedro Astacio,Rockies,7.31,3.18,2.3,1.68,18.10%,7.90%,10.20%,0.289,1.52,0.323,62.50%,119,110,,6.23,5.24,0.99,,,862
1998,Al Leiter,Mets,8.11,3.31,2.45,0.37,22.10%,9.00%,13.10%,0.214,1.15,0.272,80.30%,61,75,,2.47,3.15,-0.68,,,883
1998,Steve Trachsel,Cubs,6.45,3.63,1.77,1.17,16.70%,9.40%,7.30%,0.254,1.38,0.283,73.20%,105,108,,4.46,4.72,-0.26,,,898
1998,Brian Meadows,Marlins,4.54,2.37,1.91,1.03,11.40%,6.00%,5.40%,0.307,1.54,0.328,67.90%,129,106,,5.21,4.46,0.75,,,998
1998,Bobby Jones,Mets,5.3,2.44,2.17,1.06,14.30%,6.60%,7.70%,0.258,1.25,0.279,72.00%,100,106,,4.05,4.43,-0.37,,,1039
